start_ip,end_ip,join_key,name,country,mcc,mnc
2401:4900:463b::,2401:4900:4644:ffff:ffff:ffff:ffff:ffff,2401:4900:4000::,Airtel,GB,234,3
128.124.93.0,128.124.93.255,128.124.0.0,Vodafone UA,UA,255,01
2a00:1fa1:404e::,2a00:1fa1:404e:ffff:ffff:ffff:ffff:ffff,2a00:1fa1:4000::,MTS,RU,250,1
151.225.183.0,151.225.183.255,151.225.0.0,Sky Broadband,GB,234,57
2409:4055:84::,2409:4055:84:ffff:ffff:ffff:ffff:ffff,2409:4055::,Jio,IN,405,840
41.210.192.0,41.210.207.255,41.210.0.0,MOVICEL,AO,631,4
45.107.57.0,45.107.57.255,45.107.0.0,Vodafone,EG,602,2
2607:fb90:b284::,2607:fb90:b284:ffff:ffff:ffff:ffff:ffff,2607:fb90:8000::,T-Mobile,US,310,53
102.9.4.0,102.9.4.255,102.9.0.0,Mobinil,EG,602,1
5.109.207.0,5.109.211.255,5.109.0.0,Mobily,SA,420,3
126.247.107.0,126.247.107.255,126.247.0.0,SoftBank Mobile Corp,JP,441,1
2607:fb90:d040::,2607:fb90:d045:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,53
186.250.104.0,186.250.104.255,186.250.0.0,Vivo,BR,724,6
2600:1003:112c::,2600:1003:112e:ffff:ffff:ffff:ffff:ffff,2600:1003::,Verizon,US,310,4
2a00:1fa1:328::,2a00:1fa1:328:ffff:ffff:ffff:ffff:ffff,2a00:1fa1::,MTS,RU,250,1
114.120.0.0,114.120.255.255,114.120.0.0,Telkomsel,ID,510,10
2a00:23c5:c697::,2a00:23c5:c697:ffff:ffff:ffff:ffff:ffff,2a00:23c5:c000::,BT,GB,234,76
126.156.149.0,126.156.149.255,126.156.0.0,SoftBank,JP,441,1
156.184.192.0,156.184.255.255,156.184.0.0,Etisalat,EG,602,3
5.217.227.0,5.217.227.255,5.217.0.0,Mobile Communication Company of Iran PLC,IR,432,11
186.12.92.0,186.12.96.255,186.12.0.0,Claro,AR,722,310
91.162.215.0,91.162.215.255,91.162.0.0,Free%20Mobile,FR,208,15
156.160.78.0,156.160.80.255,156.160.0.0,Etisalat,EG,602,3
197.21.56.0,197.21.56.255,197.21.0.0,OOREDOO%20TN,TN,605,3
2409:4064:611::,2409:4064:611:ffff:ffff:ffff:ffff:ffff,2409:4064::,Jio,IN,405,840
109.201.38.0,109.201.39.255,109.201.0.0,Beeline,KZ,401,1
2401:4900:12e8::,2401:4900:12e8:ffff:ffff:ffff:ffff:ffff,2401:4900::,Bharti Airtel,IN,470,07
154.108.120.0,154.108.123.255,154.108.0.0,OOREDOO%20TN,TN,605,3
97.15.0.0,97.15.255.255,97.15.0.0,Verizon,US,311,480
114.136.16.0,114.136.18.255,114.136.0.0,Chunghwa,TW,466,92
41.115.8.0,41.115.15.255,41.115.0.0,MTN SA,AF,412,40
154.231.73.0,154.231.74.255,154.231.0.0,Airtel Uganda,UG,641,1
102.179.174.0,102.179.174.255,102.179.0.0,Airtel,BF,613,2
178.104.222.0,178.104.223.255,178.104.0.0,T-Mobile UK,GB,234,30
105.34.71.0,105.34.74.255,105.34.0.0,Orange,EG,602,1
77.204.95.0,77.204.95.255,77.204.0.0,SFR,FR,208,8
2600:1700:3c11::,2600:1700:3c11:ffff:ffff:ffff:ffff:ffff,2600:1700::,T-Mobile,US,310,53
2409:4060:2081::,2409:4060:2084:ffff:ffff:ffff:ffff:ffff,2409:4060::,Jio,IN,405,840
2409:4051:2008::,2409:4051:2008:ffff:ffff:ffff:ffff:ffff,2409:4051::,Jio,IN,405,840
41.48.120.0,41.48.120.255,41.48.0.0,Cell%20C,ZA,655,7
2a01:cb14:81fc::,2a01:cb14:81fc:ffff:ffff:ffff:ffff:ffff,2a01:cb14:8000::,Orange,FR,208,1
170.79.52.0,170.79.53.255,170.79.0.0,Vivo,BR,724,6
197.18.196.0,197.18.205.255,197.18.0.0,OOREDOO%20TN,TN,605,3
102.105.130.0,102.105.130.255,102.105.0.0,OOREDOO%20TN,TN,605,3
197.223.180.0,197.223.180.255,197.223.0.0,Mobinil,EG,602,1
2607:fb90:f618::,2607:fb90:f618:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,160
176.12.192.0,176.12.192.255,176.12.0.0,013 Netvision,IL,425,02
5.210.163.0,5.210.164.255,5.210.0.0,Mobile Communication Company of Iran PLC,IR,432,11
83.122.10.0,83.122.10.255,83.122.0.0,Mobile Communication Company of Iran PLC,IR,432,11
160.159.10.0,160.159.11.255,160.159.0.0,Orange,TN,605,1
81.131.5.0,81.131.5.255,81.131.0.0,BT,GB,234,76
178.106.223.0,178.106.223.255,178.106.0.0,EE,GB,235,1
37.129.41.0,37.129.41.255,37.129.0.0,Mobile Communication Company of Iran PLC,IR,432,11
86.55.0.0,86.55.0.255,86.55.0.0,Mobile Communication Company of Iran,IR,432,11
5.124.56.0,5.124.56.255,5.124.0.0,MTN Irancell,IR,432,35
2409:4003:2c9b::,2409:4003:2c9b:ffff:ffff:ffff:ffff:ffff,2409:4003::,Jio,IN,405,840
2409:4061:219a::,2409:4061:219a:ffff:ffff:ffff:ffff:ffff,2409:4061::,Jio,IN,405,840
37.186.32.0,37.186.39.255,37.186.0.0,Vodafone,QA,427,2
114.137.120.0,114.137.120.255,114.137.0.0,Chunghwa Telecom,TW,466,92
2600:380:19fd::,2600:380:19ff:ffff:ffff:ffff:ffff:ffff,2600:380::,AT&T,US,310,16
2603:8081:1100::,2603:8081:1100:ffff:ffff:ffff:ffff:ffff,2603:8081::,Spectrum,US,312,500
105.38.125.0,105.38.125.255,105.38.0.0,Mobinil,EG,602,1
2a01:cb1a:50::,2a01:cb1a:51:ffff:ffff:ffff:ffff:ffff,2a01:cb1a::,Orange,FR,208,1
5.169.80.0,5.169.80.255,5.169.0.0,TIM,IT,222,1
31.219.139.0,31.219.147.255,31.219.0.0,Etisalat,AE,424,2
109.253.212.0,109.253.212.255,109.253.0.0,013 Netvision,IL,425,02
2804:431:d724::,2804:431:d725:ffff:ffff:ffff:ffff:ffff,2804:431:c000::,Claro,BR,724,5
186.37.0.0,186.37.255.255,186.37.0.0,entel,CL,730,1
171.51.168.0,171.51.175.255,171.51.0.0,AirTel,IN,404,2
197.223.170.0,197.223.171.255,197.223.0.0,Mobinil,EG,602,1
178.110.76.0,178.110.76.255,178.110.0.0,EE,GB,235,1
2607:fb90:f12b::,2607:fb90:f12c:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,160
37.39.85.0,37.39.85.255,37.39.0.0,zain%20KW,KW,419,2
81.169.0.0,81.169.0.255,81.169.0.0,Proximus,BE,206,1
197.192.151.0,197.192.154.255,197.192.0.0,Etisalat,EG,602,3
196.82.186.0,196.82.186.255,196.82.0.0,IAM,MA,604,1
2a00:23c6:5e04::,2a00:23c6:5e04:ffff:ffff:ffff:ffff:ffff,2a00:23c6:4000::,BT,GB,234,76
91.251.136.0,91.251.141.255,91.251.0.0,IR-TCI (Hamrah-e-Avval),IR,432,11
2a00:23c1:f306::,2a00:23c1:f306:ffff:ffff:ffff:ffff:ffff,2a00:23c1:c000::,BT,GB,234,76
105.183.73.0,105.183.73.255,105.183.0.0,Mobinil,EG,602,1
104.237.91.0,104.237.91.255,104.237.0.0,China Mobile,CN,460,2
2600:381:3e::,2600:381:43:ffff:ffff:ffff:ffff:ffff,2600:381::,AT&T,US,310,16
2401:4900:5176::,2401:4900:5176:ffff:ffff:ffff:ffff:ffff,2401:4900:4000::,AirTel,IN,404,2
31.50.102.0,31.50.102.255,31.50.0.0,BT,GB,234,76
183.171.137.0,183.171.137.255,183.171.0.0,CelCom,MY,502,13
106.198.161.0,106.198.161.255,106.198.0.0,AirTel,IN,404,2
156.174.114.0,156.174.117.255,156.174.0.0,Etisalat,EG,602,3
121.116.1.0,121.116.1.255,121.116.0.0,NTT Docomo,JP,440,10
86.173.12.0,86.173.12.255,86.173.0.0,BT,GB,234,76
5.244.171.0,5.244.178.255,5.244.0.0,Mobily,SA,420,3
151.82.167.0,151.82.172.255,151.82.0.0,Wind,IT,222,88
51.36.35.0,51.36.37.255,51.36.0.0,Zain%20SA,SA,420,4
153.250.58.0,153.250.59.255,153.250.0.0,NTT docomo,JP,440,10
5.127.101.0,5.127.107.255,5.127.0.0,MTN Irancell,IR,432,35
196.80.223.0,196.80.223.255,196.80.0.0,IAM,MA,604,1
2804:14d:9e80::,2804:14d:9e80:ffff:ffff:ffff:ffff:ffff,2804:14d:8000::,Oi,BR,724,30
106.209.208.0,106.209.208.255,106.209.0.0,AirTel,IN,404,2
95.151.37.0,95.151.37.255,95.151.0.0,EE,GB,235,1
2a00:23c7:211e::,2a00:23c7:211e:ffff:ffff:ffff:ffff:ffff,2a00:23c7::,BT,GB,234,76
2a00:1fa0:4a3e::,2a00:1fa0:4a3e:ffff:ffff:ffff:ffff:ffff,2a00:1fa0:4000::,MTS,RU,250,1
86.215.111.0,86.215.111.255,86.215.0.0,Orange,FR,208,1
83.199.15.0,83.199.15.255,83.199.0.0,Orange,FR,208,1
114.137.21.0,114.137.22.255,114.137.0.0,Chunghwa Telecom,TW,466,92
152.235.95.0,152.235.105.255,152.235.0.0,Oi,BR,724,30
2409:4030:4e0d::,2409:4030:4e0d:ffff:ffff:ffff:ffff:ffff,2409:4030:4000::,Jio,IN,405,840
142.169.78.0,142.169.78.255,142.169.0.0,Telus Mobility,CA,302,220
2401:4900:408e::,2401:4900:409f:ffff:ffff:ffff:ffff:ffff,2401:4900:4000::,AirTel,IN,404,2
42.74.252.0,42.74.255.255,42.74.0.0,Chunghwa,TW,466,92
84.70.187.0,84.70.187.255,84.70.0.0,Vodafone UK,GB,234,7
5.217.27.0,5.217.28.255,5.217.0.0,Mobile Communication Company of Iran PLC,IR,432,11
94.14.115.0,94.14.115.255,94.14.0.0,Sky Broadband,GB,234,57
102.12.147.0,102.12.151.255,102.12.0.0,Mobinil,EG,602,1
93.32.147.0,93.32.147.255,93.32.0.0,Fastweb,IT,222,8
88.155.46.0,88.155.46.255,88.155.0.0,lifecell,UA,255,06
5.114.118.0,5.114.124.255,5.114.0.0,MTN Irancell,IR,432,35
5.62.192.0,5.62.201.255,5.62.0.0,RighTel,IR,432,20
5.156.186.0,5.156.190.255,5.156.0.0,SaudiNet,SA,420,01
86.107.216.0,86.107.217.255,86.107.0.0,Mobile Communication Company of Iran PLC,IR,432,11
2409:4054:291::,2409:4054:291:ffff:ffff:ffff:ffff:ffff,2409:4054::,Jio,IN,405,840
2600:380:4d2b::,2600:380:4d2e:ffff:ffff:ffff:ffff:ffff,2600:380:4000::,AT&T,US,310,16
105.93.160.0,105.93.160.255,105.93.0.0,Etisalat,EG,602,3
154.149.112.0,154.149.112.255,154.149.0.0,IAM,MA,604,1
192.15.190.0,192.15.225.255,192.15.0.0,IR-TCI (Hamrah-e-Avval),IR,432,11
2401:4900:3679::,2401:4900:3679:ffff:ffff:ffff:ffff:ffff,2401:4900::,Bharti Airtel,IN,470,07
102.178.90.0,102.178.91.255,102.178.0.0,Airtel,BF,613,2
176.16.243.0,176.16.243.255,176.16.0.0,Mobily,SA,420,3
106.208.94.0,106.208.94.255,106.208.0.0,Airtel,GB,234,3
78.40.2.0,78.40.3.255,78.40.0.0,vip,MK,294,3
2a00:23c5:fc81::,2a00:23c5:fc81:ffff:ffff:ffff:ffff:ffff,2a00:23c5:c000::,BT,GB,234,76
49.33.154.0,49.33.154.255,49.33.0.0,Jio,IN,405,840
2001:268:e87d::,2001:268:e87d:ffff:ffff:ffff:ffff:ffff,2001:268:c000::,au,JP,440,50
2a00:1fa0:a8b::,2a00:1fa0:a8b:ffff:ffff:ffff:ffff:ffff,2a00:1fa0::,MTS,RU,250,1
2a00:23c4:a497::,2a00:23c4:a497:ffff:ffff:ffff:ffff:ffff,2a00:23c4:8000::,BT,GB,234,76
5.213.186.0,5.213.188.255,5.213.0.0,IR-TCI (Hamrah-e-Avval),IR,432,11
42.72.207.0,42.72.209.255,42.72.0.0,Chunghwa,TW,466,92
14.27.0.0,14.27.255.255,14.27.0.0,China Telecom,CN,460,11
86.140.60.0,86.140.60.255,86.140.0.0,BT,GB,234,76
49.230.186.0,49.230.188.255,49.230.0.0,AIS,TH,520,1
171.253.15.0,171.253.16.255,171.253.0.0,Viettel Mobile,VN,452,4
84.66.4.0,84.66.5.255,84.66.0.0,Vodafone UK,GB,234,7
5.52.252.0,5.52.252.255,5.52.0.0,Mobile Communication Company of Iran PLC,IR,432,11
2a00:1fa0:664::,2a00:1fa0:665:ffff:ffff:ffff:ffff:ffff,2a00:1fa0::,MTS PJSC,RU,251,01
86.161.165.0,86.161.165.255,86.161.0.0,BT,GB,234,76
5.47.34.0,5.47.34.255,5.47.0.0,Turk Telekom,TR,286,3
2607:fc20:7b01::,2607:fc20:7b01:ffff:ffff:ffff:ffff:ffff,2607:fc20:4000::,T-Mobile,US,310,160
134.0.3.0,134.0.3.255,134.0.0.0,Wind,IT,222,88
209.93.243.0,209.93.243.255,209.93.0.0,Plusnet,GB,234,00
102.78.14.0,102.78.30.255,102.78.0.0,IAM,MA,604,1
178.91.16.0,178.91.17.255,178.91.0.0,Beeline,KZ,401,1
102.57.93.0,102.57.96.255,102.57.0.0,Etisalat,EG,602,3
78.190.245.0,78.190.245.255,78.190.0.0,Vodafone,TR,286,2
105.152.205.0,105.152.207.255,105.152.0.0,IAM,MA,604,1
86.55.125.0,86.55.125.255,86.55.0.0,Mobile Communication Company of Iran PLC,IR,432,11
154.139.45.0,154.139.45.255,154.139.0.0,Mobinil,EG,602,1
2607:fb90:64e7::,2607:fb90:64e7:ffff:ffff:ffff:ffff:ffff,2607:fb90:4000::,T-Mobile,US,310,53
154.135.87.0,154.135.87.255,154.135.0.0,Mobinil,EG,602,1
86.142.222.0,86.142.222.255,86.142.0.0,BT,GB,234,76
160.160.37.0,160.160.39.255,160.160.0.0,IAM,MA,604,1
94.128.80.0,94.128.81.255,94.128.0.0,Viva Kuwait,KW,419,04
213.122.141.0,213.122.141.255,213.122.0.0,BT,GB,234,76
151.43.217.0,151.43.217.255,151.43.0.0,WIND (Blu) -,IT,222,88
2001:56b:9fe0::,2001:56b:9fff:ffff:ffff:ffff:ffff:ffff,2001:56b:8000::,Telus,CA,302,221
105.1.139.0,105.1.140.255,105.1.0.0,Cell C,ZA,655,7
2a00:23c7:3e86::,2a00:23c7:3e86:ffff:ffff:ffff:ffff:ffff,2a00:23c7::,BT,GB,234,76
5.123.29.0,5.123.35.255,5.123.0.0,MTN Irancell,IR,432,35
5.90.9.0,5.90.9.255,5.90.0.0,Vodafone,IT,222,6
41.13.165.0,41.13.169.255,41.13.0.0,Vodacom,ZA,655,1
2600:6c5e:2900::,2600:6c5e:2900:ffff:ffff:ffff:ffff:ffff,2600:6c5e::,Spectrum,US,312,500
2607:fb90:f015::,2607:fb90:f015:ffff:ffff:ffff:ffff:ffff,2607:fb90:c000::,T-Mobile,US,310,53
102.104.229.0,102.104.230.255,102.104.0.0,OOREDOO%20TN,TN,605,3
37.39.16.0,37.39.16.255,37.39.0.0,zain%20KW,KW,419,2
2a02:8440:3307::,2a02:8440:3308:ffff:ffff:ffff:ffff:ffff,2a02:8440::,SFR,FR,208,8
45.97.210.0,45.97.211.255,45.97.0.0,Mobinil,EG,602,1
5.245.96.0,5.245.103.255,5.245.0.0,Mobily,SA,420,3
182.52.216.0,182.52.219.255,182.52.0.0,AIS,TH,520,1
2607:fc20:8364::,2607:fc20:8364:ffff:ffff:ffff:ffff:ffff,2607:fc20:8000::,T-Mobile,US,310,160
39.11.194.0,39.11.194.255,39.11.0.0,FarEasTone,TW,466,1
154.139.79.0,154.139.79.255,154.139.0.0,Mobinil,EG,602,1
37.111.236.0,37.111.236.255,37.111.0.0,TELENOR,RS,220,1
102.111.224.0,102.111.224.255,102.111.0.0,OOREDOO%20TN,TN,605,3
