start_ip,end_ip,join_key,name,domain,type,asn,as_name,as_domain,as_type,country
122.54.171.240,122.54.171.247,122.54.0.0,2-5713028_MANPROM INCORPORATED,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
124.107.37.162,124.107.37.162,124.107.0.0,18-4170048_ARCHELLE COMPUTER SHOP,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.186.80.0,122.186.80.27,122.186.0.0,BHARTI TELENET LTD. NEW DELHI,airtel.in,isp,AS9498,BHARTI Airtel Ltd.,airtel.in,isp,IN
117.20.37.0,117.20.37.127,117.20.0.0,ADSL CLIENT WITH FIXED IP - Wallis Island,mail.wf,business,AS45879,Orange Wallis & Futuna,orange.com,isp,WF
103.114.32.0,103.114.33.255,103.114.0.0,PVR Limited,pvrlimited.com,business,,,,unknown,IN
119.92.255.93,119.92.255.93,119.92.0.0,SMETCB2021051249524_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
124.107.147.86,124.107.147.86,124.107.0.0,2-4704043_TECHNOLOGY LINKS INTERNATIONALCORP.,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.224.243.76,122.224.243.79,122.224.0.0,Zhejiang Gohome,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.cn,isp,CN
113.33.215.104,113.33.215.159,113.33.0.0,ARTERIA Networks Corp.,arteria-hikari.net,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
108.61.4.120,108.61.4.143,108.61.0.0,"The Constant Company, LLC",constant.com,hosting,AS20473,"The Constant Company, LLC",constant.com,hosting,US
12.51.192.64,12.51.193.7,12.51.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.182.212.200,12.182.212.207,12.182.0.0,MITCHELL MCNUTT  SAMS,mitchellmcnutt.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.54.161.29,122.54.161.29,122.54.0.0,44-4861370_JMK @ NET ZONE INTERNET CAFE,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.157.99.88,12.157.99.95,12.157.0.0,RUSSELL TECHNOLOGIES INC-SLAY,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
103.23.218.0,103.23.219.255,103.23.0.0,Baulkham Hills Access 1,vedaadvantage.com.au,hosting,AS55478,VEDAADNET1,vedaadvantage.com.au,business,AU
122.3.46.24,122.3.46.39,122.3.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
124.107.23.184,124.107.23.191,124.107.0.0,18-4081238_STOLT NIELSEN PHILIPPINES INCORPORATED,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.54.196.143,122.54.196.143,122.54.0.0,CBGLCN2016112575848_BUREAU OF INTERNAL REVENUE,bir.gov.ph,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.209.168.240,12.209.168.247,12.209.0.0,COMMERCIAL DRIVER,cdiservices.cc,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.54.161.188,122.54.161.188,122.54.0.0,"CBGCAB2016051301987_ePLDT, Inc.",pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.1.76.160,122.1.76.167,122.1.0.0,NTT Communications Corporation,ntt.com,isp,AS4713,NTT Communications Corporation,ntt.com,isp,JP
122.2.65.153,122.2.65.153,122.2.0.0,RBGURD2014022350614_NETXON INTERNET CAFE,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.9.96.48,12.9.96.73,12.9.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.213.184.0,122.213.184.79,122.213.0.0,ARTERIA Networks Corp.,arteria-hikari.net,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
110.17.80.0,110.17.143.255,110.17.0.0,China Unicom InnerMongolia province network,chinaunicom.cn,isp,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,isp,CN
122.224.14.0,122.224.14.3,122.224.0.0,ZhuJi HuanBaoJu,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.cn,isp,CN
12.139.116.128,12.139.117.255,12.139.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
104.239.187.184,104.239.187.187,104.239.0.0,Rackspace Hosting,rackspace.com,hosting,AS19994,Rackspace Hosting,rackspace.com,hosting,US
124.106.224.195,124.106.224.195,124.106.0.0,SMECAB2020101420783_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.197.119.117,12.197.119.118,12.197.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
108.220.214.136,108.220.214.159,108.220.0.0,AT&T Corp.,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
103.80.12.0,103.80.15.255,103.80.0.0,Violet Broadband Pvt Ltd,violetbroadband.com,business,AS136716,APPLE BROADBAND SERVICES PVT. LTD,lsbroadband.com,business,IN
12.188.205.32,12.188.205.39,12.188.0.0,UNIVERSAL LIGHTING SYSTEM,unvls.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.216.210.0,122.216.210.7,122.216.0.0,broadgate,broadgateinc.com,business,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
124.106.3.45,124.106.3.45,124.106.0.0,24776851_INTERNATIONAL BAPTIST COLLEGEINC.,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
108.245.45.136,108.245.45.143,108.245.0.0,AT&T Corp.,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.211.254.64,12.211.254.71,12.211.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.52.121.82,122.52.121.86,122.52.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.3.7.20,122.3.7.20,122.3.0.0,2-5848412_ORLAN AND ELSIE FOOD COURT,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
119.93.253.96,119.93.253.96,119.93.0.0,SMEANT2016101886075_END TASK NET CAFE,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.187.175.230,122.187.175.236,122.187.0.0,BHARTI TELENET LTD. NEW DELHI,airtel.in,isp,AS9498,BHARTI Airtel Ltd.,airtel.in,isp,IN
104.179.217.40,104.179.217.63,104.179.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.185.95.0,12.185.95.7,12.185.0.0,ROGERS MANUFACTURING CORP,rogersmfg.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.107.56.88,12.107.56.95,12.107.0.0,"BWI COMPANIES, INC.",bwicompanies.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
107.210.63.64,107.210.63.79,107.210.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
103.111.240.0,103.111.243.255,103.111.0.0,Vung dia chi thu hoi tu Lapomme,vnnic.vn,business,,,,unknown,VN
118.102.162.32,118.102.162.63,118.102.0.0,DWL-Netcom,aircel.co.in,isp,,,,unknown,IN
122.216.5.8,122.216.5.23,122.216.0.0,ARTERIA Networks Corporation,arteria-net.com,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
116.228.207.184,116.228.207.187,116.228.0.0,CHINANET Shanghai province network,chinatelecom.cn,isp,AS4812,China Telecom (Group),chinatelecom.com.cn,isp,CN
12.4.154.96,12.4.154.111,12.4.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.148.165.216,12.148.165.223,12.148.0.0,WEST CONTRA COSTA YOUTH,wccysl.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.3.133.104,12.3.133.111,12.3.0.0,"GRANITE TELECOMMUNICATIONS, LLC.",granitenet.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.54.89.92,122.54.89.92,122.54.0.0,SMECBS2021061574723_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.226.195.0,122.226.195.3,122.226.0.0,"Zhejiang is the logging industry Co., LTD",hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.cn,isp,CN
103.14.214.0,103.14.215.255,103.14.0.0,APC Hosting Pte Ltd,apc.sg,hosting,AS132425,APC Hosting Pte Ltd,apc.sg,hosting,SG
12.153.0.216,12.153.0.223,12.153.0.0,WASHINGTON COUNTY EXTENSION,countycourthouse.org,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.68.67.32,12.68.67.39,12.68.0.0,TURNER INDUSTRIES,turnerindustries.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.227.68.24,122.227.68.27,122.227.0.0,CHINANET-ZJ Quzhou node network,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.cn,isp,CN
104.3.90.232,104.3.90.247,104.3.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.52.177.52,122.52.177.52,122.52.0.0,SMEMNN2020102028119_ENTERPRISE Client,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
113.36.195.0,113.36.195.87,113.36.0.0,UCOM Corporation,ucom.ne.jp,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
122.212.161.224,122.212.161.239,122.212.0.0,ARTERIA Networks Corp.,arteria-hikari.net,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
124.106.113.100,124.106.113.100,124.106.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
107.7.3.32,107.7.3.47,107.7.0.0,Windstream Communications LLC,windstream.net,isp,AS7029,Windstream Communications LLC,windstream.net,isp,US
109.238.175.128,109.238.175.255,109.238.0.0,109.238.175.128/25,energy-rk.kz,business,AS25534,10G.KZ LLC,10g.kz,isp,KZ
109.2.244.228,109.2.244.231,109.2.0.0,Static IP,mlmarseille.org,business,AS15557,SFR SA,sfr.fr,isp,FR
114.255.152.192,114.255.152.207,114.255.0.0,BEIJINGDATIANGSHENGJINGWU,sohu.com,business,AS4808,China Unicom Beijing Province Network,chinaunicom.cn,isp,CN
123.51.15.0,123.51.24.255,123.51.0.0,Telcoinabox Operations Pty Ltd,telcoinabox.com.au,business,AS38333,Symbio Networks,symbio.global,isp,AU
122.227.75.136,122.227.75.139,122.227.0.0,Electric stove Transformer factory,zjtelecom.com,business,AS4134,CHINANET-BACKBONE,chinatelecom.cn,isp,CN
12.2.244.24,12.2.244.39,12.2.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
115.42.227.152,115.42.227.159,115.42.0.0,NU SKIN ENTERPRISES (S) PTE LTD,nuskin.com,business,AS3758,SingNet,singnet.com.sg,isp,SG
122.54.89.61,122.54.89.61,122.54.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.236.32.0,12.236.32.15,12.236.0.0,LIFE CARE CENTERS OF AMERICA,lcca.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
115.147.21.29,115.147.21.29,115.147.0.0,SMEOLG2021081397303_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.191.29.144,12.191.29.151,12.191.0.0,OVH US LLC,ovhcloud.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.56.161.32,12.56.161.39,12.56.0.0,SHANE BYRD DBA,nationalbondingoflubbock.info,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
103.42.248.0,103.42.251.255,103.42.0.0,BLUEWEB NETWORK SOLUTIONS PVT.LTD.,blueweb.co.in,hosting,AS133726,BLUEWEB NETWORK SOLUTIONS PVT.LTD.,blueweb.co.in,business,IN
122.219.74.96,122.219.74.159,122.219.0.0,broadgate,broadgateinc.com,business,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
12.153.15.152,12.153.15.159,12.153.0.0,CRAMER CHILDRENS CENTER,cramerchildrenscenter.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.28.164.112,12.28.164.143,12.28.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
113.40.203.40,113.40.203.63,113.40.0.0,UCOM Corporation,ucom.ne.jp,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
12.158.146.240,12.158.146.247,12.158.0.0,"GTT COMMUNICATIONS, INC-EAGLE",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.27.132.32,12.27.132.39,12.27.0.0,PUMA NORTH AMERICA,puma.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.54.153.173,122.54.153.173,122.54.0.0,32-5056746_ACROSS THE MILES FOOD CHOICES,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.200.23.224,12.200.23.239,12.200.0.0,"AVALON PROPERTIES, INC.",avaloncommunities.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
119.92.71.187,119.92.71.187,119.92.0.0,CBGCSN2019112182478_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.227.200.160,122.227.200.163,122.227.0.0,Liu Xun,zjtelecom.com,business,AS4134,CHINANET-BACKBONE,chinatelecom.cn,isp,CN
122.226.92.48,122.226.92.63,122.226.0.0,CHINANET-ZJ Jinhua node network,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.cn,isp,CN
12.1.141.80,12.1.141.111,12.1.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
123.124.237.32,123.124.237.47,123.124.0.0,GLOBAL-NET,theglobal.net,business,AS4808,China Unicom Beijing Province Network,chinaunicom.cn,isp,CN
108.60.39.132,108.60.39.143,108.60.0.0,"Bel Air Internet, LLC",belairinternet.com,isp,AS23316,"Bel Air Internet, LLC",belairinternet.com,isp,US
103.131.189.0,103.131.189.255,103.131.0.0,SoftShell Hosting,softshellweb.com,hosting,AS9678,HostingInside LTD.,hostinginside.com,hosting,TW
122.221.161.32,122.221.161.71,122.221.0.0,UCOM Corporation,ucom.ne.jp,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
12.218.248.128,12.218.248.191,12.218.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.175.99.56,12.175.99.63,12.175.0.0,SME INC,smebranding.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
115.147.38.180,115.147.38.180,115.147.0.0,SMEDVO2021100149545_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.196.46.40,12.196.46.47,12.196.0.0,HENDRICK AUTOMOTIVE GROUP,hendrickcars.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
115.238.72.0,115.238.73.255,115.238.0.0,"Hangzhou Network Technology Co., Ltd. Bank of Internet",chinaren.com.cn,isp,AS58461,CT-HangZhou-IDC,chinatelecom.cn,isp,CN
108.46.72.0,108.46.72.7,108.46.0.0,METCOMM.NET,metcomm.net,business,AS701,Verizon Business,verizonbusiness.com,isp,US
116.228.60.124,116.228.60.127,116.228.0.0,"Shanghai Zhigaodian Internet Service Co., Ltd.",online.sh.cn,isp,AS4812,China Telecom (Group),chinatelecom.com.cn,isp,CN
109.200.195.80,109.200.195.95,109.200.0.0,i3D.net B.V,i3d.net,isp,AS49544,i3D.net B.V,i3d.net,isp,SE
109.234.184.56,109.234.184.63,109.234.0.0,Allgeier Germany Transfernetz Halton,allgeier.nl,business,AS50458,Nagarro ES GmbH,nagarro-es.com,business,DE
12.187.98.128,12.187.98.135,12.187.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.219.32.48,12.219.32.55,12.219.0.0,SHILPARK PAINT STUDIO,shilpark.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
119.92.72.42,119.92.72.42,119.92.0.0,SMENPG2020013020507_ENTERPRISE Client,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.52.171.62,122.52.171.62,122.52.0.0,SMEGNT2016040616786_WIFI INTERACTIVE NETWORK INC.,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.226.141.0,12.226.141.31,12.226.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.227.157.120,122.227.157.123,122.227.0.0,NING BO SHI TONG XIN GUAN LI JU,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.cn,isp,CN
12.111.43.216,12.111.43.223,12.111.0.0,UNITED INSURANCE SERVICE,unitedinsuranceservice.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
124.104.137.51,124.104.137.51,124.104.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.160.110.68,122.160.110.71,122.160.0.0,catamaran corp pvt ltd,catamarancorp.com,business,AS24560,"Bharti Airtel Ltd., Telemedia Services",airtel.com,isp,IN
124.105.196.114,124.105.196.114,124.105.0.0,SMEJUP2019071934601_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.3.50.162,122.3.50.162,122.3.0.0,SMETNZ2021012851649_ENTERPRISE Client,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
104.238.230.0,104.238.231.255,104.238.0.0,TRANSCOM,xcm.org,business,AS36114,"VegasNAP, LLC",fiberhub.com,hosting,US
104.167.233.40,104.167.233.47,104.167.0.0,Stella  Secreto,,business,,,,unknown,DE
12.31.66.32,12.31.66.39,12.31.0.0,EASTERN SHORE COMMUNICATI,esvc.us,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
114.160.124.0,114.160.124.31,114.160.0.0,INVOICE INC.,invoice.ne.jp,business,AS4713,NTT Communications Corporation,ntt.com,isp,JP
12.233.15.48,12.233.15.55,12.233.0.0,ALFRED BENESCH   COMPANY,benesch.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.182.71.16,12.182.71.127,12.182.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
119.93.103.135,119.93.103.135,119.93.0.0,"SMEBLR2016071850262_AUTOPROTECT INSURANCE AGENCY AND SERVICES, INC.",pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
103.131.252.0,103.131.255.255,103.131.0.0,NETEASE,netease.fr,hosting,AS131659,NETEASE,netease.fr,business,TW
109.235.228.128,109.235.228.159,109.235.0.0,rsu,swu.de,isp,AS48284,SWU TeleNet GmbH,swu.de,isp,DE
109.7.38.224,109.7.38.227,109.7.0.0,Static IP,pierre-associes.fr,business,AS15557,SFR SA,sfr.fr,isp,FR
12.138.178.192,12.138.178.192,12.138.0.0,CINTEK SYSTEM INC,cinteksystem.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.225.55.32,122.225.55.35,122.225.0.0,Fashion world clothing (Jiaxing ) Limited company,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.cn,isp,CN
119.92.190.40,119.92.190.43,119.92.0.0,2039172_EEIKAIWA INC.,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.149.91.152,12.149.91.159,12.149.0.0,ISLAND TERRACE AND,5islandave.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.18.196.224,12.18.196.231,12.18.0.0,ATT MOBILITY,att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
119.93.97.208,119.93.97.208,119.93.0.0,2-7082479_PUREGOLD PRICE CLUB,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
108.245.55.136,108.245.55.143,108.245.0.0,Private Customer - AT&T Internet Services,ads-internet.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
121.22.86.24,121.22.86.47,121.22.0.0,China Unicom Hebei province network,chinaunicom.cn,isp,AS4837,CHINA UNICOM China169 Backbone,chinaunicom.cn,isp,CN
124.107.69.48,124.107.69.48,124.107.0.0,18-3251892_DULCE M ABANILLA,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
119.93.166.53,119.93.166.53,119.93.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
119.93.253.62,119.93.253.62,119.93.0.0,"SMEGNT2016040161275_PGE BUSINESS SOLUTIONS, INC.",pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
12.129.230.208,12.129.230.215,12.129.0.0,CERFnet,cerf.net,hosting,AS17233,AT&T Enhanced Network Services,attens.com,business,US
113.43.46.120,113.43.46.127,113.43.0.0,ARTERIA Networks Corporation,arteria-net.com,isp,AS17506,ARTERIA Networks Corporation,arteria-net.com,isp,JP
12.17.208.216,12.17.208.223,12.17.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
119.93.139.175,119.93.139.175,119.93.0.0,34-4357202_BACOLOD CITY- MUNICIPAL TRIAL COURT VI,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
109.7.98.80,109.7.98.83,109.7.0.0,Static IP,interieur.gouv.fr,business,AS15557,SFR SA,sfr.fr,isp,FR
104.48.120.8,104.48.120.31,104.48.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
121.52.149.209,121.52.149.222,121.52.0.0,"PERN, IP Allocation",pern.pk,isp,AS45773,"PERN AS Content Servie Provider, Islamabad, Pakistan",hec.gov.pk,isp,PK
12.193.127.232,12.193.127.239,12.193.0.0,EL PASO JAG INC,elpasojag.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.24.62.184,12.24.62.191,12.24.0.0,CENCO INSURANCE MARKETING CORP,cencoinsurance.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.188.76.176,12.188.76.183,12.188.0.0,"AT&T Services, Inc.",att.com,isp,AS7018,"AT&T Services, Inc.",att.com,isp,US
12.20.71.112,12.20.71.127,12.20.0.0,BALLY GAMING SYSTEMSCO TANGO,ally.com,business,AS7018,"AT&T Services, Inc.",att.com,isp,US
122.3.175.238,122.3.175.238,122.3.0.0,SMEBCD2021012082722_ENTERPRISE CLIENT,supportingenterprises.com,business,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
122.54.211.53,122.54.211.57,122.54.0.0,IPG,pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
115.238.137.36,115.238.137.39,115.238.0.0,Ningbo Yuyao Special Equipment Inspection Institute of Inspection Station,hz.zj.cn,business,AS4134,CHINANET-BACKBONE,chinatelecom.cn,isp,CN
124.106.40.248,124.106.40.255,124.106.0.0,"CBGGNT2017030205783_MEDFORD RX SOLUTIONS, INC.",pldt.com,isp,AS9299,Philippine Long Distance Telephone Company,pldt.com,isp,PH
